datetime,weekday,flow_usage,power_usage
2026-05-31 23:00:00,7,0.0,0.0
2026-05-31 23:01:00,7,0.0,0.0
2026-05-31 23:02:00,7,0.0,0.0
2026-05-31 23:03:00,7,0.0,0.0
2026-05-31 23:04:00,7,0.0,0.0
2026-05-31 23:05:00,7,0.0,0.0
2026-05-31 23:06:00,7,0.0,0.0
2026-05-31 23:07:00,7,0.0,0.0
2026-05-31 23:08:00,7,0.0,0.0
2026-05-31 23:09:00,7,0.0,0.0
2026-05-31 23:10:00,7,0.0,0.0
2026-05-31 23:11:00,7,0.0,0.0
2026-05-31 23:12:00,7,0.0,0.0
2026-05-31 23:13:00,7,0.0,0.0
2026-05-31 23:14:00,7,0.0,0.0
2026-05-31 23:15:00,7,0.0,0.0
2026-05-31 23:16:00,7,0.0,0.0
2026-05-31 23:17:00,7,0.0,0.0
2026-05-31 23:18:00,7,0.0,0.0
2026-05-31 23:19:00,7,0.0,0.0
2026-05-31 23:20:00,7,0.0,0.0
2026-05-31 23:21:00,7,0.0,0.0
2026-05-31 23:22:00,7,0.0,0.0
2026-05-31 23:23:00,7,0.0,0.0
2026-05-31 23:24:00,7,0.0,0.0
2026-05-31 23:25:00,7,0.0,0.0
2026-05-31 23:26:00,7,0.0,0.0
2026-05-31 23:27:00,7,0.0,0.0
2026-05-31 23:28:00,7,0.0,0.0
2026-05-31 23:29:00,7,0.0,0.0
2026-05-31 23:30:00,7,0.0,0.0
2026-05-31 23:31:00,7,0.0,0.0
2026-05-31 23:32:00,7,0.0,0.0
2026-05-31 23:33:00,7,0.0,0.0
2026-05-31 23:34:00,7,0.0,0.0
2026-05-31 23:35:00,7,0.0,0.0
2026-05-31 23:36:00,7,0.0,0.0
2026-05-31 23:37:00,7,0.0,0.0
2026-05-31 23:38:00,7,0.0,0.0
2026-05-31 23:39:00,7,0.0,0.0
2026-05-31 23:40:00,7,0.0,0.0
2026-05-31 23:41:00,7,0.0,0.0
2026-05-31 23:42:00,7,0.0,0.0
2026-05-31 23:43:00,7,0.0,0.0
2026-05-31 23:44:00,7,0.0,0.0
